"Region, Province, and Highly Urbanized City",Household Population,"Apostolic Catholic Church, Inc.",Catholic Charismatic,Philippine Independent Catholic Church,"Roman Catholic, excluding Catholic Charismatics"
National Capital Region,13403551,2377,9147,676,11846408
City of Manila,1837785,270,684,89,1624939
City of Mandaluyong,419333,111,81,33,376765
City of Marikina,452961,28,70,23,398202
City of Pasig,801439,161,1313,23,710429
Quezon City,2950493,537,2535,189,2549957
City of San Juan,124699,29,17,1,106761
City of Caloocan,1659025,300,593,37,1474346
City of Malabon,379463,47,223,9,343251
City of Navotas,246743,18,9,3,226106
City of Valenzuela,713181,136,55,39,636024
City of Las Piñas,604283,68,190,7,550900
City of Makati,624032,118,114,61,552626
City of Muntinlupa,519112,107,1686,50,459828
City of Parañaque,686313,105,1027,22,628364
